,Station Names,YEAR,Month,Max Temp,Min Temp,Rainfall,Relative Humidity,Wind Speed,Cloud Coverage,Bright Sunshine,Station Number,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT,Period
64,Barisal,2013,1,28.7,10.6,0,80,1.4,0.3,7.1,41950,536809.8,510151.9,22.7,90.36,4,2013.01
129,Barisal,2013,2,32.3,14.8,6,76,1.3,1.6,7.7,41950,536809.8,510151.9,22.7,90.36,4,2013.02
194,Barisal,2013,3,36.2,21,5,76,1.9,1.8,8.6,41950,536809.8,510151.9,22.7,90.36,4,2013.03
259,Barisal,2013,4,36.2,24,64,76,2.5,3.5,8.2,41950,536809.8,510151.9,22.7,90.36,4,2013.04
324,Barisal,2013,5,37.5,24.8,701,87,4.1,6.9,3.8,41950,536809.8,510151.9,22.7,90.36,4,2013.05
389,Barisal,2013,6,36,26.8,277,85,2.4,5.7,5.7,41950,536809.8,510151.9,22.7,90.36,4,2013.06
454,Barisal,2013,7,33,26.5,377,87,3.1,6.4,4.7,41950,536809.8,510151.9,22.7,90.36,4,2013.07
519,Barisal,2013,8,34,26.2,398,88,2.5,6.4,4,41950,536809.8,510151.9,22.7,90.36,4,2013.08
584,Barisal,2013,9,35,26,312,88,2,5.7,4.2,41950,536809.8,510151.9,22.7,90.36,4,2013.09
649,Barisal,2013,10,34.2,24.4,181,88,1.9,4.7,4.9,41950,536809.8,510151.9,22.7,90.36,4,2013.1
714,Barisal,2013,11,32.2,17.7,0,81,1,0.9,8.5,41950,536809.8,510151.9,22.7,90.36,4,2013.11
779,Barisal,2013,12,29.5,14.2,0,82,1,0.5,6.7,41950,536809.8,510151.9,22.7,90.36,4,2013.12
827,Bhola,2013,1,29.6,10.9,0,78,1.2,0.6,6,41951,567637.6,510271.8,22.7,90.66,5,2013.01
875,Bhola,2013,2,32.5,15.3,9,74,1.5,1.9,7.4,41951,567637.6,510271.8,22.7,90.66,5,2013.02
923,Bhola,2013,3,35.6,21.1,0,74,1.3,1.6,7.2,41951,567637.6,510271.8,22.7,90.66,5,2013.03
971,Bhola,2013,4,36.3,24.3,28,76,1.6,3.1,6.5,41951,567637.6,510271.8,22.7,90.66,5,2013.04
1019,Bhola,2013,5,36,24.6,655,86,3.1,6.1,2.6,41951,567637.6,510271.8,22.7,90.66,5,2013.05
1067,Bhola,2013,6,35.8,26.7,270,85,3.9,4.9,4.7,41951,567637.6,510271.8,22.7,90.66,5,2013.06
1115,Bhola,2013,7,33,26.3,327,88,2.4,6.1,3.4,41951,567637.6,510271.8,22.7,90.66,5,2013.07
1163,Bhola,2013,8,33.5,26,477,90,1.9,5.8,3.1,41951,567637.6,510271.8,22.7,90.66,5,2013.08
1211,Bhola,2013,9,35.4,26,228,88,1.3,4.9,3.9,41951,567637.6,510271.8,22.7,90.66,5,2013.09
1259,Bhola,2013,10,34.7,24.2,200,87,1.6,4.4,5.7,41951,567637.6,510271.8,22.7,90.66,5,2013.1
1307,Bhola,2013,11,32.3,17.9,0,81,1,1,8.4,41951,567637.6,510271.8,22.7,90.66,5,2013.11
1355,Bhola,2013,12,31,14.2,0,83,1.3,0.6,6.3,41951,567637.6,510271.8,22.7,90.66,5,2013.12
1421,Bogra,2013,1,28.5,10.3,0,76,2.5,0.9,4.4,41883,435303.7,751187.5,24.88,89.36,20,2013.01
1487,Bogra,2013,2,32.5,15.1,22,67,2.7,1.3,7.4,41883,435303.7,751187.5,24.88,89.36,20,2013.02
1553,Bogra,2013,3,35.7,19.9,3,63,3.3,1,7.3,41883,435303.7,751187.5,24.88,89.36,20,2013.03
1619,Bogra,2013,4,37.2,22.8,0,73,0,3.3,7.7,41883,435303.7,751187.5,24.88,89.36,20,2013.04
1685,Bogra,2013,5,37.4,24.5,152,81,3.2,6.3,3.1,41883,435303.7,751187.5,24.88,89.36,20,2013.05
1751,Bogra,2013,6,37.2,26.9,204,79,2.7,5.4,4.9,41883,435303.7,751187.5,24.88,89.36,20,2013.06
1817,Bogra,2013,7,35,26.9,283,81,3.2,6,4.2,41883,435303.7,751187.5,24.88,89.36,20,2013.07
1883,Bogra,2013,8,35.8,26.5,256,86,3,6.1,3.1,41883,435303.7,751187.5,24.88,89.36,20,2013.08
1949,Bogra,2013,9,36.3,26.5,99,81,2.4,5.2,4.8,41883,435303.7,751187.5,24.88,89.36,20,2013.09
2015,Bogra,2013,10,35.5,23.8,200,83,2.4,4.5,4.8,41883,435303.7,751187.5,24.88,89.36,20,2013.1
2081,Bogra,2013,11,32.3,17.4,0,74,1.6,0.9,8.1,41883,435303.7,751187.5,24.88,89.36,20,2013.11
2147,Bogra,2013,12,30.5,14.1,0,79,1.7,1.3,4,41883,435303.7,751187.5,24.88,89.36,20,2013.12
2197,Chandpur,2013,1,28.7,11.7,0,78,2.5,0.6,5.6,41941,568556.9,571945.8,23.26,90.67,7,2013.01
2247,Chandpur,2013,2,32.4,16,3,71,2.7,1.5,7,41941,568556.9,571945.8,23.26,90.67,7,2013.02
2297,Chandpur,2013,3,35.5,21.3,15,71,2.1,1.9,7.6,41941,568556.9,571945.8,23.26,90.67,7,2013.03
2347,Chandpur,2013,4,36.2,23.9,135,76,2.8,4,7.3,41941,568556.9,571945.8,23.26,90.67,7,2013.04
2397,Chandpur,2013,5,35.7,24.4,670,86,3,6.6,3.3,41941,568556.9,571945.8,23.26,90.67,7,2013.05
2447,Chandpur,2013,6,36.4,26.3,497,83,2.3,5.1,5.4,41941,568556.9,571945.8,23.26,90.67,7,2013.06
2497,Chandpur,2013,7,34.6,26.5,225,85,2.2,6.2,4.7,41941,568556.9,571945.8,23.26,90.67,7,2013.07
2547,Chandpur,2013,8,35.2,26.2,331,86,2.4,6.3,2.6,41941,568556.9,571945.8,23.26,90.67,7,2013.08
2597,Chandpur,2013,9,35.6,26.1,502,86,2.1,6.4,3.3,41941,568556.9,571945.8,23.26,90.67,7,2013.09
2647,Chandpur,2013,10,35,24.5,167,85,1.9,5.1,4,41941,568556.9,571945.8,23.26,90.67,7,2013.1
2697,Chandpur,2013,11,32.5,19.1,0,75,2.3,1.3,7.2,41941,568556.9,571945.8,23.26,90.67,7,2013.11
2747,Chandpur,2013,12,30.4,15.9,0,79,2,2.2,4.1,41941,568556.9,571945.8,23.26,90.67,7,2013.12
2750,Chittagong (City-Ambagan),2013,1,31.6,12.7,0,69,3,0.3,6.411130628,41977,0,0,22.35,91.8166,0,2013.01
2753,Chittagong (City-Ambagan),2013,2,35.5,16.7,1,57,3.1,1.5,6.411130628,41977,0,0,22.35,91.8166,0,2013.02
2756,Chittagong (City-Ambagan),2013,3,34.8,21.1,5,70,3.8,1.4,6.411130628,41977,0,0,22.35,91.8166,0,2013.03
2759,Chittagong (City-Ambagan),2013,4,35,24.4,58,73,3.9,2.9,6.411130628,41977,0,0,22.35,91.8166,0,2013.04
2762,Chittagong (City-Ambagan),2013,5,34,24.6,469,83,3.9,6,6.411130628,41977,0,0,22.35,91.8166,0,2013.05
2765,Chittagong (City-Ambagan),2013,6,35.3,26,504,84,3.5,5.7,6.411130628,41977,0,0,22.35,91.8166,0,2013.06
2768,Chittagong (City-Ambagan),2013,7,34.5,25.8,391,83,3.6,6.2,6.411130628,41977,0,0,22.35,91.8166,0,2013.07
2771,Chittagong (City-Ambagan),2013,8,33.2,24.9,243,85,3.2,6.6,6.411130628,41977,0,0,22.35,91.8166,0,2013.08
2774,Chittagong (City-Ambagan),2013,9,35.1,25.5,305,85,2.8,5.9,6.411130628,41977,0,0,22.35,91.8166,0,2013.09
2777,Chittagong (City-Ambagan),2013,10,35.6,24,403,86,2.4,5.1,6.411130628,41977,0,0,22.35,91.8166,0,2013.1
2780,Chittagong (City-Ambagan),2013,11,33.2,19.1,0,76,2.2,1.9,6.411130628,41977,0,0,22.35,91.8166,0,2013.11
2783,Chittagong (City-Ambagan),2013,12,30.5,15.8,0,77,2.3,0.8,6.411130628,41977,0,0,22.35,91.8166,0,2013.12
2860,Chittagong (IAP-Patenga),2013,1,30,12.7,0,73,6.5,0.4,7.6,41978,684570.9,471415,22.34,91.79,6,2013.01
2925,Chittagong (IAP-Patenga),2013,2,32.5,16.9,0,64,7.5,1.5,8.5,41978,684570.9,471415,22.34,91.79,6,2013.02
2990,Chittagong (IAP-Patenga),2013,3,33.3,20.9,3,77,7.1,1.3,7.6,41978,684570.9,471415,22.34,91.79,6,2013.03
3055,Chittagong (IAP-Patenga),2013,4,33.6,24.4,58,78,7,2.7,7.7,41978,684570.9,471415,22.34,91.79,6,2013.04
3120,Chittagong (IAP-Patenga),2013,5,33.6,24.5,773,86,7.5,6.1,6.1,41978,684570.9,471415,22.34,91.79,6,2013.05
3185,Chittagong (IAP-Patenga),2013,6,34.5,26.1,513,84,7.2,5.5,4,41978,684570.9,471415,22.34,91.79,6,2013.06
3250,Chittagong (IAP-Patenga),2013,7,36.5,26,405,84,6.5,5.8,5.4,41978,684570.9,471415,22.34,91.79,6,2013.07
3315,Chittagong (IAP-Patenga),2013,8,31.8,25.7,267,86,5.9,6,5.4,41978,684570.9,471415,22.34,91.79,6,2013.08
3380,Chittagong (IAP-Patenga),2013,9,33.8,25.8,173,84,6.4,5.6,6.1,41978,684570.9,471415,22.34,91.79,6,2013.09
3445,Chittagong (IAP-Patenga),2013,10,33,24.5,369,86,5.2,4.8,6.5,41978,684570.9,471415,22.34,91.79,6,2013.1
3510,Chittagong (IAP-Patenga),2013,11,30.2,20.1,0,78,5.3,2,8,41978,684570.9,471415,22.34,91.79,6,2013.11
3575,Chittagong (IAP-Patenga),2013,12,28.2,16.2,0,78,5.3,1.1,8.012,41978,684570.9,471415,22.34,91.79,6,2013.12
3598,Chuadanga,2013,1,27.5,8.6,3,79,2.3,0.5,5.7,41926,0,0,23.65,88.81667,0,2013.01
3621,Chuadanga,2013,2,32.5,12.9,12,75,2,1.3,7.6,41926,0,0,23.65,88.81667,0,2013.02
3644,Chuadanga,2013,3,38.2,18.4,1,66,2.2,1.5,8,41926,0,0,23.65,88.81667,0,2013.03
3667,Chuadanga,2013,4,41.5,23.3,32,65,2.3,2.7,7.9,41926,0,0,23.65,88.81667,0,2013.04
3690,Chuadanga,2013,5,38.6,24.9,260,81,2.7,5.4,4.7,41926,0,0,23.65,88.81667,0,2013.05
3713,Chuadanga,2013,6,36.7,26.4,156,85,2.1,4.9,6,41926,0,0,23.65,88.81667,0,2013.06
3736,Chuadanga,2013,7,36.2,26.4,169,86,2.2,5.3,4.5,41926,0,0,23.65,88.81667,0,2013.07
3759,Chuadanga,2013,8,35.7,25.7,202,88,2,5.5,4,41926,0,0,23.65,88.81667,0,2013.08
3782,Chuadanga,2013,9,36.3,25.6,122,87,1.7,4.7,5,41926,0,0,23.65,88.81667,0,2013.09
3805,Chuadanga,2013,10,35,23.5,208,89,1.7,4.6,4.2,41926,0,0,23.65,88.81667,0,2013.1
3828,Chuadanga,2013,11,32,15.3,0,82,1.7,0.7,8,41926,0,0,23.65,88.81667,0,2013.11
3851,Chuadanga,2013,12,29,12.2,0,82,1.7,0.4,5.2,41926,0,0,23.65,88.81667,0,2013.12
3941,Comilla,2013,1,28.6,10.9,0,74,1.6,0.7,6.8,41933,621445.2,596963.4,23.48,91.19,10,2013.01
4007,Comilla,2013,2,31.4,15.8,3,69,2.2,1.4,7.8,41933,621445.2,596963.4,23.48,91.19,10,2013.02
4073,Comilla,2013,3,34,20.5,30,76,1.9,1.9,8.2,41933,621445.2,596963.4,23.48,91.19,10,2013.03
4139,Comilla,2013,4,34.8,23.4,28,78,2.4,2.9,7.7,41933,621445.2,596963.4,23.48,91.19,10,2013.04
4205,Comilla,2013,5,34.8,24.2,467,85,3,6.4,4.2,41933,621445.2,596963.4,23.48,91.19,10,2013.05
4271,Comilla,2013,6,35.6,26.5,214,82,2.5,5.5,6.6,41933,621445.2,596963.4,23.48,91.19,10,2013.06
4337,Comilla,2013,7,35.6,26.1,276,84,2.6,5.4,6.1,41933,621445.2,596963.4,23.48,91.19,10,2013.07
4403,Comilla,2013,8,35,25.9,243,85,2.5,6,4.2,41933,621445.2,596963.4,23.48,91.19,10,2013.08
4469,Comilla,2013,9,35.4,25.7,255,85,2.2,5.6,5.3,41933,621445.2,596963.4,23.48,91.19,10,2013.09
4535,Comilla,2013,10,34.6,24.1,124,85,2,4.9,5.7,41933,621445.2,596963.4,23.48,91.19,10,2013.1
4601,Comilla,2013,11,33.2,17.8,0,78,1.8,0.5,8.4,41933,621445.2,596963.4,23.48,91.19,10,2013.11
4667,Comilla,2013,12,30.8,14.2,3,81,1.7,1,6,41933,621445.2,596963.4,23.48,91.19,10,2013.12
4733,Cox's Bazar,2013,1,32,13.9,0,71,4.6,0.4,7.9,41992,705183,374324.6,21.46,91.98,4,2013.01
4799,Cox's Bazar,2013,2,33.8,18.2,0,67,4.5,1,8.4,41992,705183,374324.6,21.46,91.98,4,2013.02
4865,Cox's Bazar,2013,3,35,21.4,0,75,3.5,0.8,8.6,41992,705183,374324.6,21.46,91.98,4,2013.03
4931,Cox's Bazar,2013,4,35,24.5,54,77,3.4,2.3,8.7,41992,705183,374324.6,21.46,91.98,4,2013.04
4997,Cox's Bazar,2013,5,34.5,24.7,700,86,4.3,6,4,41992,705183,374324.6,21.46,91.98,4,2013.05
5063,Cox's Bazar,2013,6,35,25.8,876,86,2.9,6.5,3.7,41992,705183,374324.6,21.46,91.98,4,2013.06
5129,Cox's Bazar,2013,7,34,25.1,772,86,2.9,7,4.6,41992,705183,374324.6,21.46,91.98,4,2013.07
5195,Cox's Bazar,2013,8,33.5,25.5,1000,86,2.9,6.6,4.4,41992,705183,374324.6,21.46,91.98,4,2013.08
5261,Cox's Bazar,2013,9,34.2,25.6,237,86,2.6,6.4,4.6,41992,705183,374324.6,21.46,91.98,4,2013.09
5327,Cox's Bazar,2013,10,34.2,24.5,420,84,1.7,5.4,4.9,41992,705183,374324.6,21.46,91.98,4,2013.1
5393,Cox's Bazar,2013,11,32.6,21.3,0,73,1.1,1.6,7.6,41992,705183,374324.6,21.46,91.98,4,2013.11
5459,Cox's Bazar,2013,12,31,17.1,0,73,1.3,1,7.1,41992,705183,374324.6,21.46,91.98,4,2013.12
5520,Dhaka,2013,1,28.1,12.3,0,65,1.6,0.4,4.5,41923,540098.6,629248.4,23.78,90.39,9,2013.01
5581,Dhaka,2013,2,32.4,17.5,8,56,2.2,1.2,7,41923,540098.6,629248.4,23.78,90.39,9,2013.02
5642,Dhaka,2013,3,36,22.1,26,55,2.4,2,7.9,41923,540098.6,629248.4,23.78,90.39,9,2013.03
5703,Dhaka,2013,4,37,24.4,32,64,2.7,3.5,6.5,41923,540098.6,629248.4,23.78,90.39,9,2013.04
5764,Dhaka,2013,5,37.1,24.8,378,79,3,6.6,3.6,41923,540098.6,629248.4,23.78,90.39,9,2013.05
5825,Dhaka,2013,6,36.4,27.2,325,77,2.4,5.7,4.8,41923,540098.6,629248.4,23.78,90.39,9,2013.06
5886,Dhaka,2013,7,34.6,27,302,78,2.5,6.3,4.4,41923,540098.6,629248.4,23.78,90.39,9,2013.07
5947,Dhaka,2013,8,35,26.2,212,81,2.5,6.3,3.3,41923,540098.6,629248.4,23.78,90.39,9,2013.08
6008,Dhaka,2013,9,35.7,26.3,172,81,1.8,5.8,3.6,41923,540098.6,629248.4,23.78,90.39,9,2013.09
6069,Dhaka,2013,10,35.2,24.4,131,79,1.8,4.9,4.5,41923,540098.6,629248.4,23.78,90.39,9,2013.1
6130,Dhaka,2013,11,32.1,18.5,0,67,1.7,0.9,7,41923,540098.6,629248.4,23.78,90.39,9,2013.11
6191,Dhaka,2013,12,30.5,15.6,4,73,1.6,1.2,4.1,41923,540098.6,629248.4,23.78,90.39,9,2013.12
6257,Dinajpur,2013,1,27.2,8.5,0,78,1.5,0.8,5.2,41863,365790.2,834718,25.63,88.66,37,2013.01
6323,Dinajpur,2013,2,31.5,13.9,10,70,1.6,1.9,7.4,41863,365790.2,834718,25.63,88.66,37,2013.02
6389,Dinajpur,2013,3,36,18,0,64,1.7,0.8,8.9,41863,365790.2,834718,25.63,88.66,37,2013.03
6455,Dinajpur,2013,4,39.5,21.3,99,69,1.9,3.3,7,41863,365790.2,834718,25.63,88.66,37,2013.04
6521,Dinajpur,2013,5,37.8,23.9,133,81,2,6,4.4,41863,365790.2,834718,25.63,88.66,37,2013.05
6587,Dinajpur,2013,6,37.2,26.4,370,81,1.6,5.7,5.4,41863,365790.2,834718,25.63,88.66,37,2013.06
6653,Dinajpur,2013,7,35,26.9,255,82,1.8,6.2,5.1,41863,365790.2,834718,25.63,88.66,37,2013.07
6719,Dinajpur,2013,8,35.7,26.1,469,85,1.8,6.3,4.6,41863,365790.2,834718,25.63,88.66,37,2013.08
6785,Dinajpur,2013,9,36.2,26,182,82,1.7,4.9,6.4,41863,365790.2,834718,25.63,88.66,37,2013.09
6851,Dinajpur,2013,10,33.8,22.3,309,85,1.7,4.7,5.1,41863,365790.2,834718,25.63,88.66,37,2013.1
6917,Dinajpur,2013,11,30.6,15.1,0,78,1.8,1.2,7.7,41863,365790.2,834718,25.63,88.66,37,2013.11
6983,Dinajpur,2013,12,29,12.3,0,81,1.8,0.7,3.6,41863,365790.2,834718,25.63,88.66,37,2013.12
7049,Faridpur,2013,1,28,10.4,0,77,1.9,0.5,6.1,41929,483877.3,610719.3,23.61,89.84,9,2013.01
7115,Faridpur,2013,2,32.3,15.1,12,70,2.2,1.5,7.8,41929,483877.3,610719.3,23.61,89.84,9,2013.02
7181,Faridpur,2013,3,36.8,20.3,12,65,2,1.1,8,41929,483877.3,610719.3,23.61,89.84,9,2013.03
7247,Faridpur,2013,4,39.6,23.7,55,68,2.6,2.4,7.2,41929,483877.3,610719.3,23.61,89.84,9,2013.04
7313,Faridpur,2013,5,37.3,24.6,380,84,2.9,5.9,3.7,41929,483877.3,610719.3,23.61,89.84,9,2013.05
7379,Faridpur,2013,6,35.8,26.7,291,82,2.1,4.8,5.8,41929,483877.3,610719.3,23.61,89.84,9,2013.06
7445,Faridpur,2013,7,35.3,26.7,198,84,2.4,5.2,5,41929,483877.3,610719.3,23.61,89.84,9,2013.07
7511,Faridpur,2013,8,34.9,26.3,264,86,2.2,5.9,3.9,41929,483877.3,610719.3,23.61,89.84,9,2013.08
7577,Faridpur,2013,9,35.7,26.3,225,85,1.8,4.8,4.4,41929,483877.3,610719.3,23.61,89.84,9,2013.09
7643,Faridpur,2013,10,34.8,24.3,202,85,1.6,4.4,4.7,41929,483877.3,610719.3,23.61,89.84,9,2013.1
7709,Faridpur,2013,11,32,17.6,0,76,1.6,0.7,8.6,41929,483877.3,610719.3,23.61,89.84,9,2013.11
7775,Faridpur,2013,12,29.6,14.5,0,80,1.7,0.9,5.6,41929,483877.3,610719.3,23.61,89.84,9,2013.12
7816,Feni,2013,1,29.7,10.9,0,77,1.2,0.4,5.3,41943,640285.9,544954.5,23.01,91.37,8,2013.01
7857,Feni,2013,2,32.5,15.3,3,70,2,1.6,6.9,41943,640285.9,544954.5,23.01,91.37,8,2013.02
7898,Feni,2013,3,34.7,20.4,26,72,2.2,2.3,7.8,41943,640285.9,544954.5,23.01,91.37,8,2013.03
7939,Feni,2013,4,35.6,23.8,17,77,2.9,3.6,7.6,41943,640285.9,544954.5,23.01,91.37,8,2013.04
7980,Feni,2013,5,33.4,24.3,533,87,3.8,7,3.3,41943,640285.9,544954.5,23.01,91.37,8,2013.05
8021,Feni,2013,6,36,26.2,493,84,2.7,6.1,6.1,41943,640285.9,544954.5,23.01,91.37,8,2013.06
8062,Feni,2013,7,34.8,25.7,382,86,3.3,6.6,5.3,41943,640285.9,544954.5,23.01,91.37,8,2013.07
8103,Feni,2013,8,33.8,25.5,468,87,3.1,6.7,3.9,41943,640285.9,544954.5,23.01,91.37,8,2013.08
8144,Feni,2013,9,35.5,25.2,373,86,2.1,6.1,4.3,41943,640285.9,544954.5,23.01,91.37,8,2013.09
8185,Feni,2013,10,35.1,23.8,193,87,1.3,4.8,4.9,41943,640285.9,544954.5,23.01,91.37,8,2013.1
8226,Feni,2013,11,32.5,17.8,0,79,0.7,0.6,8.7,41943,640285.9,544954.5,23.01,91.37,8,2013.11
8267,Feni,2013,12,30.5,14.3,0,81,0.5,0.9,5.1,41943,640285.9,544954.5,23.01,91.37,8,2013.12
8315,Hatiya,2013,1,30.3,11.7,0,76,1.5,0.4,7.2,41963,616159.2,465295.1,22.29,91.13,4,2013.01
8363,Hatiya,2013,2,33.2,15.6,4,71,1.7,1.5,7.9,41963,616159.2,465295.1,22.29,91.13,4,2013.02
8411,Hatiya,2013,3,34.6,20.3,0,76,1.8,1.7,8.5,41963,616159.2,465295.1,22.29,91.13,4,2013.03
8459,Hatiya,2013,4,35,23.9,50,81,2.2,2.8,8.2,41963,616159.2,465295.1,22.29,91.13,4,2013.04
8507,Hatiya,2013,5,33.4,24.7,842,87,4.3,6.5,2.8,41963,616159.2,465295.1,22.29,91.13,4,2013.05
8555,Hatiya,2013,6,35.7,26.1,592,86,2.6,5.8,5.8,41963,616159.2,465295.1,22.29,91.13,4,2013.06
8603,Hatiya,2013,7,32.4,25.7,544,88,3.2,6.3,4.5,41963,616159.2,465295.1,22.29,91.13,4,2013.07
8651,Hatiya,2013,8,34.4,25.3,677,91,2.4,6.5,3.6,41963,616159.2,465295.1,22.29,91.13,4,2013.08
8699,Hatiya,2013,9,36,25.5,435,89,1.6,5.7,4.6,41963,616159.2,465295.1,22.29,91.13,4,2013.09
8747,Hatiya,2013,10,34.5,24.3,292,88,1.7,5.1,5.1,41963,616159.2,465295.1,22.29,91.13,4,2013.1
8795,Hatiya,2013,11,32.2,19,0,82,1.1,1.5,8.4,41963,616159.2,465295.1,22.29,91.13,4,2013.11
8843,Hatiya,2013,12,30,14.9,0,83,1.2,1.1,6.5,41963,616159.2,465295.1,22.29,91.13,4,2013.12
8896,Ishurdi,2013,1,27,8.6,1,82,2,0.6,5.2,41907,402483.2,667640.8,24.12,89.04,14,2013.01
8949,Ishurdi,2013,2,31.6,13.1,14,75,2.2,1.4,8,41907,402483.2,667640.8,24.12,89.04,14,2013.02
9002,Ishurdi,2013,3,37.2,18.3,0,63,1.9,1.1,8,41907,402483.2,667640.8,24.12,89.04,14,2013.03
9055,Ishurdi,2013,4,40,23.1,69,63,2.2,3.1,7.5,41907,402483.2,667640.8,24.12,89.04,14,2013.04
9108,Ishurdi,2013,5,38,24.9,182,82,2.7,6.2,3.8,41907,402483.2,667640.8,24.12,89.04,14,2013.05
9161,Ishurdi,2013,6,36.8,26.7,264,83,1.9,5.9,5.8,41907,402483.2,667640.8,24.12,89.04,14,2013.06
9214,Ishurdi,2013,7,35.5,26.8,130,83,2.4,5.4,6.3,41907,402483.2,667640.8,24.12,89.04,14,2013.07
9267,Ishurdi,2013,8,36.2,26.2,218,86,2.1,6.2,4.4,41907,402483.2,667640.8,24.12,89.04,14,2013.08
9320,Ishurdi,2013,9,35.6,26,121,85,2,5.4,5.7,41907,402483.2,667640.8,24.12,89.04,14,2013.09
9373,Ishurdi,2013,10,34.2,23.6,130,86,2.1,4.6,5.1,41907,402483.2,667640.8,24.12,89.04,14,2013.1
9426,Ishurdi,2013,11,32,15.6,0,78,2.3,0.9,8.4,41907,402483.2,667640.8,24.12,89.04,14,2013.11
9479,Ishurdi,2013,12,29.4,12.2,0,81,2.1,0.5,5.2,41907,402483.2,667640.8,24.12,89.04,14,2013.12
9545,Jessore,2013,1,29.2,9.3,6,77,3.7,0.3,4.7,41936,420062.7,562498.8,23.17,89.22,7,2013.01
9611,Jessore,2013,2,33.2,13.6,15,71,5.2,1.2,6.8,41936,420062.7,562498.8,23.17,89.22,7,2013.02
9677,Jessore,2013,3,37.8,19.6,8,66,5.9,1.2,6.9,41936,420062.7,562498.8,23.17,89.22,7,2013.03
9743,Jessore,2013,4,39.2,23.6,63,67,6.8,2.4,6.9,41936,420062.7,562498.8,23.17,89.22,7,2013.04
9809,Jessore,2013,5,37.6,25.3,278,80,11.2,5.2,7.4,41936,420062.7,562498.8,23.17,89.22,7,2013.05
9875,Jessore,2013,6,36.4,26.5,203,81,5.9,4.4,3.8,41936,420062.7,562498.8,23.17,89.22,7,2013.06
9941,Jessore,2013,7,35.4,26.5,249,83,7.4,5.3,4.3,41936,420062.7,562498.8,23.17,89.22,7,2013.07
10007,Jessore,2013,8,36.2,26,309,85,6.8,5.4,3.2,41936,420062.7,562498.8,23.17,89.22,7,2013.08
10073,Jessore,2013,9,35.8,25.9,322,85,5.5,4.6,3.6,41936,420062.7,562498.8,23.17,89.22,7,2013.09
10139,Jessore,2013,10,35,23.9,223,85,4.1,4.3,3.7,41936,420062.7,562498.8,23.17,89.22,7,2013.1
10205,Jessore,2013,11,32.8,16.1,0,76,3.4,0.4,7,41936,420062.7,562498.8,23.17,89.22,7,2013.11
10271,Jessore,2013,12,29.8,13.1,0,78,3.1,0.6,4.5,41936,420062.7,562498.8,23.17,89.22,7,2013.12
10310,Khepupara,2013,1,30.5,12,0,72,2.7,0.3,7.3,41984,522893.1,430006.8,21.98,90.22,3,2013.01
10349,Khepupara,2013,2,33.7,15.5,1,66,3.6,1.4,7.7,41984,522893.1,430006.8,21.98,90.22,3,2013.02
10388,Khepupara,2013,3,35.8,21.2,0,73,3.9,1.2,8.6,41984,522893.1,430006.8,21.98,90.22,3,2013.03
10427,Khepupara,2013,4,35.6,25.2,0,77,0,3.3,8.2,41984,522893.1,430006.8,21.98,90.22,3,2013.04
10466,Khepupara,2013,5,36.2,25,727,85,6.6,6.7,3.3,41984,522893.1,430006.8,21.98,90.22,3,2013.05
10505,Khepupara,2013,6,35.4,26.4,395,85,4.4,5.5,5,41984,522893.1,430006.8,21.98,90.22,3,2013.06
10544,Khepupara,2013,7,33.5,26.2,640,87,4.7,5.9,5.5,41984,522893.1,430006.8,21.98,90.22,3,2013.07
10583,Khepupara,2013,8,34,26,403,87,3.9,5.8,4.2,41984,522893.1,430006.8,21.98,90.22,3,2013.08
10622,Khepupara,2013,9,35,25.8,536,88,2.6,5.4,4.6,41984,522893.1,430006.8,21.98,90.22,3,2013.09
10661,Khepupara,2013,10,34.5,24.3,418,88,2.9,4.8,4.6,41984,522893.1,430006.8,21.98,90.22,3,2013.1
10700,Khepupara,2013,11,32.2,18.6,0,79,2.4,1.3,7.6,41984,522893.1,430006.8,21.98,90.22,3,2013.11
10739,Khepupara,2013,12,30,14.8,0,78,2.1,0.8,7.4,41984,522893.1,430006.8,21.98,90.22,3,2013.12
10817,Khulna,2013,1,29.2,11.7,1,84,1.4,0.4,6.8,41947,456632.4,521635.7,22.8,89.58,4,2013.01
10883,Khulna,2013,2,32.4,15.6,7,78,1.8,1.6,7.9,41947,456632.4,521635.7,22.8,89.58,4,2013.02
10949,Khulna,2013,3,36.6,21.1,19,70,2,1.5,8.1,41947,456632.4,521635.7,22.8,89.58,4,2013.03
11015,Khulna,2013,4,38.8,24.1,62,71,2.3,2.9,8.1,41947,456632.4,521635.7,22.8,89.58,4,2013.04
11081,Khulna,2013,5,37.5,25.2,430,83,2.9,6.4,4.1,41947,456632.4,521635.7,22.8,89.58,4,2013.05
11147,Khulna,2013,6,37,27.1,212,85,1.6,5.2,5,41947,456632.4,521635.7,22.8,89.58,4,2013.06
11213,Khulna,2013,7,34.7,26.7,313,91,2.3,6.2,4.6,41947,456632.4,521635.7,22.8,89.58,4,2013.07
11279,Khulna,2013,8,35.5,26.3,482,92,2,6.2,3.7,41947,456632.4,521635.7,22.8,89.58,4,2013.08
11345,Khulna,2013,9,36,26.4,278,85,1.3,5.8,4.4,41947,456632.4,521635.7,22.8,89.58,4,2013.09
11411,Khulna,2013,10,35.2,24.4,260,87,1.5,5.3,4.3,41947,456632.4,521635.7,22.8,89.58,4,2013.1
